"clip_id","categories"
2285902,"9, 111, 2, 26"
2809991,3
3890238,"232, 13"
4238052,"2, 155"
6857186,9
7507493,7
8191217,117
9940327,"17, 117, 178, 6"
10019015,"2, 26"
10829255,2
11077331,"2, 32, 7, 211"
12423997,2
12653029,"178, 179, 117"
12829784,"3, 50, 7, 116"
13533846,"2, 7"
13898084,"3, 50"
14679729,7
14773535,"2, 26"
15126262,2
15841377,117
16094710,3
16640746,7
16653052,117
16964034,11
17419531,13
17535548,"2, 27"
18441243,"7, 118"
19024160,2
19687833,3
20344220,7
21119709,191
21216091,7
21253329,117
22611216,"11, 82"
23371242,"3, 50, 7, 116"
23925061,"3, 7"
23986237,9
24831714,7
25037336,"3, 117, 178, 6, 186, 1, 161"
25127382,117
25485145,193
25799594,7
26378195,13
26433049,13
26747671,"32, 2"
27003856,3
27127177,"27, 7, 211, 2"
27273208,9
27699350,7
28051776,117
28735477,"9, 2"
28855417,142
29392606,7
30126264,142
30501143,"18, 169, 9, 108"
30708149,"17, 18"
30969373,"11, 87"
31268301,2
32273368,9
32364450,"7, 118, 2, 27"
32748421,"175, 117"
32748604,117
32772801,129
33822223,2
33846498,"7, 134"
34072719,7
34134308,193
35927275,"3, 50, 7, 116, 11, 82"
35965635,117
36071497,142
36491475,2
36547449,"9, 111"
36731248,7
36830276,191
36890881,7
36994466,129
37071868,"129, 13"
37106377,4
37156264,117
37176398,"155, 2"
37239925,142
37373013,17
37792362,6
38931673,"2, 7"
39312923,7
39329246,7
39863899,2
40401835,3
40847329,"2, 26"
41038445,1
41406753,13
41740558,9
41777758,17
41783612,"117, 11"
41791991,7
42109988,"2, 7"
42806579,"7, 118"
42874024,7
42934682,7
43331383,7
43747127,2
43942492,"50, 7, 116, 214, 3"
44336109,"2, 26"
44356343,7
44387307,7
44405353,"2, 7"
44740087,"2, 7"
44859581,2
45068181,"2, 26, 117, 178, 6"
45075681,"117, 11"
45095858,9
45270841,7
45281618,"7, 2"
45417241,12
45550516,9
45642553,9
46123821,191
46132826,7
46145750,7
46300983,"24, 1"
47623825,9
47875313,9
47955207,191
49059546,2
49445992,117
49478128,7
49636181,9
49854655,2
50097809,117
50405555,117
50531435,"7, 211"
50700292,9
50976572,7
51036089,9
51159181,"7, 2"
51309765,9
51315610,"7, 2"
51700038,12
51704432,2
52235498,7
52243765,7
52640864,1
52744406,2
52760964,1
53188831,"129, 2"
53520224,9
53623459,117
54135163,7
54144270,2
54589245,"7, 118"
54680077,2
54741784,7
55090522,2
55165865,"118, 7"
55887965,"13, 238"
56075298,9
56136687,2
56292505,7
56464411,7
56541141,129
56552254,9
56605338,7
56775813,"6, 186"
56782935,"7, 118"
56810854,"13, 7, 16"
56936092,7
56988484,142
57094153,2
57135411,11
57183688,17
57192213,7
57197027,2
57242407,7
57254558,"3, 117"
57297653,117
57395065,"7, 2"
57444237,9
57460444,2
57463725,18
57536776,9
57564747,117
57705581,117
57747975,2
57765423,7
57804203,9
57815233,142
58015626,2
58150375,7
58161697,9
58179094,2
58179312,2
58224211,2
58241892,"7, 2"
58288032,9
58293017,7
58298502,7
58429056,7
58444378,117
58445885,2
58449984,2
58531940,"2, 7"
58562532,"142, 2"
58617220,2
58646255,"7, 2"
58659769,17
58729480,"9, 2"
58822149,9
58827100,"187, 2, 27, 17"
58834399,7
58841871,7
58869875,"142, 7"
58879954,9
58933055,"3, 142"
59075039,9
59079498,9
59106292,2
59144993,2
59179537,"2, 26, 211, 214, 7"
59207751,117
59230893,"2, 27, 7, 118"
59244708,117
59282725,9
59361603,9
59376506,2
59379393,117
59393483,2
59400095,2
59549299,7
59629693,17
59642733,"2, 26, 7, 211, 215"
59749737,117
59767453,"7, 213"
59880951,9
59956490,"2, 24, 1"
59976249,117
60002414,"13, 7"
60021080,9
60037201,9
60043114,9
60047355,9
60131271,"2, 17"
60224302,9
60512889,"118, 7"
60555406,"17, 117"
60576409,"11, 7, 223"
60639863,7
60718161,117
60763684,2
60788712,7
60999448,9
61103187,14
61217305,2
61248884,142
61361236,117
61451298,9
61532659,7
61533281,2
61613766,9
61617991,117
61813841,9
61830828,9
61835260,"170, 2, 18"
62071921,"9, 2"
62085613,"117, 193"
62201173,2
62219238,17
62267330,2
62330832,17
62386108,7
62409118,9
62452128,7
62509176,"2, 6, 26, 186"
62571137,"11, 222"
62629251,7
62741577,2
62773137,2
62797737,9
62846755,9
63028405,2
63059519,117
63070434,117
63115838,9
63161577,9
63186969,193
63204897,9
63253281,"26, 7, 211, 2"
63359147,2
63507308,2
63609012,"7, 17"
63649144,9
63718300,17
63823593,2
63942137,7
64020968,9
64114843,"7, 28, 2"
64119063,4
64182445,2
64197938,9
64200399,7
